itle,Type,Genre,ReleaseYear,Rating,Duration,Country,Score,Decade,ScoreColor,isSeries
Title 95,Movie,Documentary,1988,G,89 min,Canada,2,1980,"#996600",true
Title 96,TV Show,Action,2005,TV-14,2 Seasons,United States,4,2000,"#32CC00",false
Title 97,Movie,Romance,1978,TV-MA,1 Seasons,Germany,0,1970,"#FF0000",false
Title 98,TV Show,Romance,2007,TV-PG,2 Seasons,India,0,2000,"#FF0000",false
Title 99,Movie,Action,1978,PG-13,124 min,Australia,2,1970,"#996600",true
Title 100,TV Show,Drama,1991,G,84 min,United Kingdom,0,1990,"#FF0000",true
Title 101,TV Show,Sci-Fi,2006,TV-14,2 Seasons,Australia,4,2000,"#32CC00",false
Title 102,TV Show,Horror,2016,R,107 min,India,2,2010,"#996600",true
Title 103,TV Show,Action,1978,PG,106 min,India,4,1970,"#32CC00",true
Title 104,TV Show,Action,1952,TV-PG,153 min,Germany,4,1950,"#32CC00",true
Title 105,Movie,Thriller,1972,TV-PG,157 min,United Kingdom,4,1970,"#32CC00",true
Title 106,TV Show,Romance,1967,PG-13,2 Seasons,United Kingdom,4,1960,"#32CC00",false
Title 107,TV Show,Action,2005,TV-14,2 Seasons,South Korea,4,2000,"#32CC00",false
Title 108,Movie,Drama,1985,TV-MA,2 Seasons,South Korea,5,1980,"#00FF00",false
Title 109,TV Show,Drama,1966,TV-PG,1 Seasons,South Korea,1,1960,"#CC3300",false
Title 110,Movie,Documentary,1963,PG-13,3 Seasons,United Kingdom,0,1960,"#FF0000",false
Title 111,Movie,Action,1974,TV-PG,2 Seasons,United States,4,1970,"#32CC00",false
Title 112,Movie,Documentary,1971,TV-14,138 min,Japan,3,1970,"#659900",true
Title 113,Movie,Drama,2019,PG,180 min,Canada,0,2010,"#FF0000",true
Title 114,TV Show,Action,2005,R,3 Seasons,Germany,2,2000,"#996600",false
Title 115,TV Show,Thriller,2010,PG-13,90 min,Australia,0,2010,"#FF0000",true
Title 116,Movie,Thriller,2007,PG-13,159 min,United States,2,2000,"#996600",true
Title 117,Movie,Romance,1963,R,2 Seasons,Australia,4,1960,"#32CC00",false
Title 118,TV Show,Romance,2018,R,3 Seasons,United Kingdom,2,2010,"#996600",false
Title 119,TV Show,Drama,2003,TV-PG,3 Seasons,Australia,3,2000,"#659900",false
Title 120,Movie,Romance,1974,PG,74 min,South Korea,5,1970,"#00FF00",true
Title 121,TV Show,Thriller,2008,TV-MA,66 min,United Kingdom,2,2000,"#996600",true
Title 122,Movie,Sci-Fi,1983,G,2 Seasons,India,2,1980,"#996600",false
Title 123,TV Show,Documentary,1959,G,1 Seasons,India,0,1950,"#FF0000",false
Title 124,Movie,Comedy,1982,TV-14,3 Seasons,Canada,1,1980,"#CC3300",false
Title 125,Movie,Horror,1977,TV-14,2 Seasons,Canada,1,1970,"#CC3300",false
Title 126,TV Show,Comedy,1953,R,2 Seasons,India,1,1950,"#CC3300",false
Title 127,Movie,Comedy,2010,PG-13,3 Seasons,South Korea,0,2010,"#FF0000",false
Title 128,TV Show,Thriller,1998,TV-PG,1 Seasons,United Kingdom,0,1990,"#FF0000",false
Title 129,Movie,Drama,1951,PG,3 Seasons,United States,2,1950,"#996600",false
Title 130,Movie,Drama,1963,PG-13,2 Seasons,United Kingdom,4,1960,"#32CC00",false
Title 131,TV Show,Thriller,1979,PG,3 Seasons,Canada,1,1970,"#CC3300",false
Title 132,Movie,Comedy,1963,TV-PG,2 Seasons,Germany,3,1960,"#659900",false
Title 133,TV Show,Comedy,2006,TV-14,1 Seasons,Australia,5,2000,"#00FF00",false
Title 134,Movie,Action,1970,R,2 Seasons,Canada,0,1970,"#FF0000",false
Title 135,TV Show,Comedy,1963,TV-PG,2 Seasons,United Kingdom,3,1960,"#659900",false
Title 136,Movie,Romance,2005,G,65 min,Japan,1,2000,"#CC3300",true
Title 137,TV Show,Comedy,1984,TV-MA,1 Seasons,Australia,2,1980,"#996600",false
Title 138,Movie,Romance,1998,R,79 min,United States,4,1990,"#32CC00",true
Title 139,Movie,Drama,1976,G,73 min,South Korea,2,1970,"#996600",true
Title 140,TV Show,Drama,1991,PG,3 Seasons,Japan,2,1990,"#996600",false
Title 141,TV Show,Sci-Fi,2012,G,3 Seasons,Australia,1,2010,"#CC3300",false
Title 142,Movie,Comedy,1977,G,103 min,South Korea,5,1970,"#00FF00",true
Title 143,TV Show,Sci-Fi,1956,R,1 Seasons,Japan,1,1950,"#CC3300",false
Title 144,TV Show,Horror,1985,TV-14,65 min,India,4,1980,"#32CC00",true
Title 145,TV Show,Horror,1989,TV-14,3 Seasons,Germany,2,1980,"#996600",false
Title 146,TV Show,Comedy,1960,TV-PG,1 Seasons,Australia,5,1960,"#00FF00",false
Title 147,TV Show,Sci-Fi,1955,G,165 min,Australia,0,1950,"#FF0000",true
Title 148,TV Show,Comedy,1990,PG-13,1 Seasons,Canada,1,1990,"#CC3300",false
Title 149,Movie,Thriller,1985,PG-13,2 Seasons,Japan,1,1980,"#CC3300",false
Title 150,TV Show,Thriller,1950,PG,179 min,Australia,4,1950,"#32CC00",true
Title 151,TV Show,Horror,1993,R,113 min,United Kingdom,2,1990,"#996600",true
Title 152,TV Show,Thriller,1996,R,3 Seasons,Germany,4,1990,"#32CC00",false
Title 153,TV Show,Horror,2022,R,1 Seasons,Japan,3,2020,"#659900",false
Title 154,TV Show,Drama,1994,TV-PG,1 Seasons,Germany,2,1990,"#996600",false
Title 155,TV Show,Documentary,2005,PG,3 Seasons,Germany,1,2000,"#CC3300",false
Title 156,Movie,Sci-Fi,2012,PG,166 min,United Kingdom,3,2010,"#659900",true
Title 157,Movie,Thriller,1968,PG,91 min,Australia,3,1960,"#659900",true
Title 158,Movie,Documentary,1979,R,119 min,United Kingdom,2,1970,"#996600",true
Title 159,Movie,Drama,1959,G,164 min,Australia,3,1950,"#659900",true
Title 160,Movie,Documentary,1979,PG-13,3 Seasons,Canada,3,1970,"#659900",false
Title 161,TV Show,Drama,1956,TV-14,169 min,Canada,4,1950,"#32CC00",true
Title 162,Movie,Romance,2012,PG,104 min,United Kingdom,3,2010,"#659900",true
Title 163,TV Show,Horror,2001,TV-MA,155 min,United Kingdom,2,2000,"#996600",true
Title 164,Movie,Drama,1960,PG-13,135 min,United Kingdom,0,1960,"#FF0000",true
Title 165,TV Show,Comedy,1983,PG,70 min,Japan,2,1980,"#996600",true
Title 166,TV Show,Romance,1986,TV-MA,177 min,United Kingdom,3,1980,"#659900",true
Title 167,TV Show,Action,1961,TV-MA,109 min,India,1,1960,"#CC3300",true
Title 168,TV Show,Romance,1978,R,1 Seasons,India,2,1970,"#996600",false
Title 169,TV Show,Documentary,2011,TV-14,1 Seasons,Germany,0,2010,"#FF0000",false
Title 170,TV Show,Comedy,1958,R,179 min,United States,5,1950,"#00FF00",true
Title 171,Movie,Thriller,1993,R,126 min,Germany,0,1990,"#FF0000",true
Title 172,TV Show,Horror,1981,TV-PG,3 Seasons,Germany,5,1980,"#00FF00",false
Title 173,TV Show,Drama,2002,TV-MA,2 Seasons,Australia,0,2000,"#FF0000",false
Title 174,TV Show,Documentary,1952,PG-13,3 Seasons,United Kingdom,0,1950,"#FF0000",false
Title 175,Movie,Horror,1964,TV-14,2 Seasons,United States,0,1960,"#FF0000",false
Title 176,TV Show,Comedy,2014,TV-14,158 min,United States,4,2010,"#32CC00",true
Title 177,Movie,Documentary,1951,PG,3 Seasons,Canada,5,1950,"#00FF00",false
Title 178,TV Show,Comedy,2018,PG-13,1 Seasons,South Korea,5,2010,"#00FF00",false
Title 179,TV Show,Sci-Fi,1956,PG,1 Seasons,Germany,0,1950,"#FF0000",false
Title 180,TV Show,Documentary,1959,TV-14,3 Seasons,United Kingdom,0,1950,"#FF0000",false
Title 181,Movie,Action,1974,PG-13,122 min,United States,4,1970,"#32CC00",true
Title 182,Movie,Drama,1972,TV-14,1 Seasons,Germany,5,1970,"#00FF00",false
Title 183,TV Show,Comedy,1971,R,3 Seasons,Germany,1,1970,"#CC3300",false
Title 184,Movie,Documentary,1998,TV-PG,122 min,Japan,0,1990,"#FF0000",true
Title 185,TV Show,Documentary,1967,PG-13,3 Seasons,India,3,1960,"#659900",false
Title 186,TV Show,Horror,1967,G,3 Seasons,Japan,3,1960,"#659900",false
Title 187,TV Show,Comedy,1995,PG-13,127 min,South Korea,5,1990,"#00FF00",true
Title 188,Movie,Sci-Fi,2002,PG,2 Seasons,Japan,2,2000,"#996600",false
Title 189,TV Show,Comedy,2015,G,2 Seasons,United Kingdom,5,2010,"#00FF00",false
Title 190,Movie,Thriller,2017,TV-14,2 Seasons,Canada,2,2010,"#996600",false
Title 191,Movie,Documentary,2018,TV-14,2 Seasons,South Korea,5,2010,"#00FF00",false
Title 192,Movie,Sci-Fi,1965,TV-PG,3 Seasons,United Kingdom,0,1960,"#FF0000",false
Title 193,TV Show,Sci-Fi,1960,G,3 Seasons,Japan,0,1960,"#FF0000",false
Title 194,TV Show,Romance,1958,TV-MA,173 min,Germany,4,1950,"#32CC00",true
Title 195,Movie,Romance,2000,G,2 Seasons,South Korea,3,2000,"#659900",false
Title 196,Movie,Comedy,1969,TV-MA,89 min,Australia,3,1960,"#659900",true
Title 197,Movie,Documentary,1962,PG-13,1 Seasons,Canada,3,1960,"#659900",false
Title 198,Movie,Drama,1967,R,106 min,Germany,2,1960,"#996600",true
Title 199,TV Show,Documentary,1964,R,2 Seasons,United Kingdom,2,1960,"#996600",false
Title 200,TV Show,Drama,1969,G,66 min,Germany,0,1960,"#FF0000",true
Title 201,Movie,Documentary,2016,R,1 Seasons,Japan,4,2010,"#32CC00",false
Title 202,TV Show,Sci-Fi,1969,G,169 min,United Kingdom,4,1960,"#32CC00",true
Title 203,TV Show,Action,1988,PG-13,2 Seasons,Canada,2,1980,"#996600",false
Title 204,Movie,Sci-Fi,1954,TV-PG,174 min,South Korea,2,1950,"#996600",true
Title 205,TV Show,Action,2016,TV-14,109 min,Canada,0,2010,"#FF0000",true
Title 206,Movie,Romance,2000,R,1 Seasons,Australia,4,2000,"#32CC00",false
Title 207,TV Show,Thriller,2015,TV-PG,3 Seasons,United States,3,2010,"#659900",false
Title 208,TV Show,Romance,2017,PG-13,125 min,Germany,5,2010,"#00FF00",true
Title 209,Movie,Sci-Fi,1968,PG-13,2 Seasons,United Kingdom,0,1960,"#FF0000",false
Title 210,TV Show,Romance,1979,TV-PG,3 Seasons,United States,5,1970,"#00FF00",false
Title 211,Movie,Thriller,2017,G,147 min,South Korea,1,2010,"#CC3300",true
Title 212,TV Show,Documentary,1988,R,131 min,Germany,1,1980,"#CC3300",true
Title 213,Movie,Sci-Fi,1951,TV-14,175 min,Japan,5,1950,"#00FF00",true
Title 214,TV Show,Documentary,2003,PG,1 Seasons,United States,0,2000,"#FF0000",false
Title 215,Movie,Drama,1974,R,3 Seasons,Canada,0,1970,"#FF0000",false
Title 216,TV Show,Drama,1986,TV-14,1 Seasons,Germany,5,1980,"#00FF00",false
Title 217,Movie,Sci-Fi,1998,R,78 min,United States,3,1990,"#659900",true
Title 218,Movie,Documentary,1971,TV-14,1 Seasons,Japan,5,1970,"#00FF00",false
Title 219,Movie,Thriller,1964,PG,113 min,Australia,5,1960,"#00FF00",true
Title 220,Movie,Comedy,1990,R,165 min,Germany,4,1990,"#32CC00",true
Title 221,Movie,Thriller,2017,TV-MA,3 Seasons,South Korea,5,2010,"#00FF00",false
Title 222,TV Show,Comedy,1968,PG,161 min,India,3,1960,"#659900",true
Title 223,TV Show,Drama,1968,G,128 min,Canada,2,1960,"#996600",true
Title 224,TV Show,Documentary,1973,G,2 Seasons,United Kingdom,4,1970,"#32CC00",false
Title 225,Movie,Action,1987,G,114 min,United States,4,1980,"#32CC00",true
Title 226,Movie,Documentary,1960,TV-PG,124 min,United Kingdom,1,1960,"#CC3300",true
Title 227,TV Show,Comedy,1964,TV-MA,159 min,South Korea,4,1960,"#32CC00",true
Title 228,TV Show,Comedy,1960,TV-PG,3 Seasons,United Kingdom,5,1960,"#00FF00",false
Title 229,Movie,Documentary,1984,PG,70 min,India,3,1980,"#659900",true
Title 230,TV Show,Horror,2021,TV-MA,2 Seasons,Australia,1,2020,"#CC3300",false
Title 231,Movie,Thriller,1963,G,1 Seasons,Japan,3,1960,"#659900",false
Title 232,Movie,Romance,2004,TV-14,178 min,India,0,2000,"#FF0000",true
Title 233,Movie,Documentary,2008,TV-MA,3 Seasons,Japan,1,2000,"#CC3300",false
Title 234,Movie,Romance,1971,TV-PG,158 min,Germany,3,1970,"#659900",true
Title 235,TV Show,Drama,1970,G,163 min,India,4,1970,"#32CC00",true
Title 236,Movie,Horror,2005,G,3 Seasons,Germany,3,2000,"#659900",false
Title 237,Movie,Documentary,1988,PG,153 min,South Korea,5,1980,"#00FF00",true
Title 238,TV Show,Comedy,1957,R,2 Seasons,United Kingdom,2,1950,"#996600",false
Title 239,TV Show,Romance,2014,G,132 min,South Korea,3,2010,"#659900",true
Title 240,TV Show,Romance,2001,TV-14,110 min,South Korea,4,2000,"#32CC00",true
Title 241,TV Show,Sci-Fi,1991,PG-13,1 Seasons,Australia,1,1990,"#CC3300",false
Title 242,TV Show,Drama,1985,TV-PG,2 Seasons,Australia,0,1980,"#FF0000",false
Title 243,Movie,Action,1982,TV-MA,127 min,Germany,5,1980,"#00FF00",true
Title 244,TV Show,Thriller,1978,R,111 min,United Kingdom,4,1970,"#32CC00",true
Title 245,Movie,Romance,1959,TV-MA,122 min,Japan,2,1950,"#996600",true
Title 246,TV Show,Action,2015,TV-14,3 Seasons,United Kingdom,1,2010,"#CC3300",false
Title 247,TV Show,Comedy,1955,TV-MA,3 Seasons,Germany,0,1950,"#FF0000",false
Title 248,Movie,Romance,1994,TV-PG,1 Seasons,Germany,1,1990,"#CC3300",false
Title 249,Movie,Action,1979,TV-MA,81 min,Japan,2,1970,"#996600",true
Title 250,Movie,Romance,2009,PG-13,166 min,United States,5,2000,"#00FF00",true
Title 251,TV Show,Comedy,1952,TV-MA,89 min,Canada,2,1950,"#996600",true
Title 252,TV Show,Sci-Fi,2016,PG,2 Seasons,Germany,2,2010,"#996600",false
Title 253,Movie,Comedy,1959,PG,151 min,United Kingdom,2,1950,"#996600",true
Title 254,Movie,Thriller,1951,TV-PG,3 Seasons,United Kingdom,2,1950,"#996600",false
Title 255,TV Show,Action,1956,R,145 min,Canada,0,1950,"#FF0000",true
Title 256,TV Show,Drama,1955,TV-MA,92 min,Australia,2,1950,"#996600",true
Title 257,Movie,Sci-Fi,1991,G,2 Seasons,India,4,1990,"#32CC00",false
Title 258,Movie,Comedy,2018,TV-MA,1 Seasons,Australia,3,2010,"#659900",false
Title 259,TV Show,Romance,1984,TV-14,71 min,Japan,0,1980,"#FF0000",true
Title 260,TV Show,Sci-Fi,1986,PG,139 min,India,1,1980,"#CC3300",true
Title 261,Movie,Romance,1970,TV-14,140 min,South Korea,0,1970,"#FF0000",true
Title 262,TV Show,Action,1977,R,77 min,South Korea,4,1970,"#32CC00",true
Title 263,Movie,Horror,1972,TV-PG,3 Seasons,Germany,0,1970,"#FF0000",false
Title 264,Movie,Comedy,1951,PG-13,3 Seasons,South Korea,3,1950,"#659900",false
Title 265,Movie,Romance,1968,TV-PG,72 min,Australia,1,1960,"#CC3300",true
Title 266,TV Show,Drama,1950,TV-14,100 min,South Korea,1,1950,"#CC3300",true
Title 267,TV Show,Action,1954,PG-13,2 Seasons,Canada,5,1950,"#00FF00",false
Title 268,Movie,Horror,2019,R,3 Seasons,Australia,1,2010,"#CC3300",false
Title 269,TV Show,Comedy,2018,TV-MA,78 min,Canada,3,2010,"#659900",true
Title 270,Movie,Romance,1993,PG-13,140 min,United States,4,1990,"#32CC00",true
Title 271,TV Show,Action,1994,PG,89 min,Germany,2,1990,"#996600",true
Title 272,TV Show,Comedy,1994,R,1 Seasons,United Kingdom,1,1990,"#CC3300",false
Title 273,Movie,Comedy,1988,TV-PG,1 Seasons,Canada,2,1980,"#996600",false
Title 274,Movie,Drama,1958,TV-PG,134 min,India,3,1950,"#659900",true
Title 275,Movie,Horror,2009,G,126 min,India,5,2000,"#00FF00",true
Title 276,TV Show,Action,1962,PG,1 Seasons,South Korea,1,1960,"#CC3300",false
Title 277,TV Show,Romance,1959,R,92 min,Canada,3,1950,"#659900",true
Title 278,TV Show,Romance,1967,PG,2 Seasons,India,5,1960,"#00FF00",false
Title 279,Movie,Horror,1977,R,3 Seasons,India,3,1970,"#659900",false
Title 280,TV Show,Drama,2005,PG-13,176 min,Australia,0,2000,"#FF0000",true
Title 281,TV Show,Action,2019,R,2 Seasons,Germany,5,2010,"#00FF00",false
Title 282,TV Show,Horror,2014,PG-13,171 min,United States,4,2010,"#32CC00",true
Title 283,TV Show,Horror,1984,TV-MA,150 min,Canada,5,1980,"#00FF00",true
Title 284,TV Show,Comedy,2008,G,2 Seasons,United Kingdom,4,2000,"#32CC00",false
Title 285,TV Show,Horror,2009,TV-PG,155 min,South Korea,5,2000,"#00FF00",true
Title 286,TV Show,Drama,2001,TV-14,2 Seasons,United States,0,2000,"#FF0000",false
Title 287,TV Show,Romance,2015,G,1 Seasons,Japan,4,2010,"#32CC00",false
Title 288,TV Show,Horror,1971,TV-MA,100 min,South Korea,4,1970,"#32CC00",true
Title 289,TV Show,Horror,1994,PG,94 min,Germany,3,1990,"#659900",true
Title 290,TV Show,Sci-Fi,1991,R,104 min,South Korea,0,1990,"#FF0000",true
Title 291,Movie,Drama,1954,R,2 Seasons,India,4,1950,"#32CC00",false
Title 292,TV Show,Sci-Fi,2004,G,109 min,Australia,2,2000,"#996600",true
Title 293,TV Show,Comedy,2010,PG,68 min,Canada,0,2010,"#FF0000",true
Title 294,TV Show,Thriller,2006,R,3 Seasons,South Korea,4,2000,"#32CC00",false
Title 295,TV Show,Horror,2000,R,107 min,India,2,2000,"#996600",true
Title 296,TV Show,Sci-Fi,2016,TV-14,3 Seasons,United Kingdom,4,2010,"#32CC00",false
Title 297,TV Show,Horror,1987,G,61 min,Japan,4,1980,"#32CC00",true
Title 298,Movie,Romance,1997,PG,3 Seasons,India,0,1990,"#FF0000",false
Title 299,TV Show,Romance,1998,G,1 Seasons,South Korea,2,1990,"#996600",false
Title 300,TV Show,Drama,2021,G,1 Seasons,South Korea,5,2020,"#00FF00",false
Title 301,TV Show,Action,1970,R,2 Seasons,Japan,2,1970,"#996600",false
Title 302,TV Show,Action,1974,TV-PG,1 Seasons,Canada,4,1970,"#32CC00",false
Title 303,TV Show,Documentary,1960,R,2 Seasons,Australia,2,1960,"#996600",false
Title 304,Movie,Documentary,2018,PG,3 Seasons,Germany,2,2010,"#996600",false
Title 305,TV Show,Documentary,2002,PG,111 min,Japan,2,2000,"#996600",true
Title 306,TV Show,Romance,1961,TV-14,67 min,United States,0,1960,"#FF0000",true
Title 307,TV Show,Thriller,1970,PG,1 Seasons,United Kingdom,2,1970,"#996600",false
Title 308,TV Show,Romance,2008,TV-MA,3 Seasons,Germany,1,2000,"#CC3300",false
Title 309,TV Show,Romance,1995,PG,111 min,Germany,0,1990,"#FF0000",true
Title 310,Movie,Comedy,1958,TV-PG,89 min,United Kingdom,4,1950,"#32CC00",true
Title 311,Movie,Action,1979,R,100 min,Australia,4,1970,"#32CC00",true
Title 312,TV Show,Drama,2021,TV-14,73 min,Germany,5,2020,"#00FF00",true
